Datetime Air_Temperature Relative_humidity WindSpeed Shortwaveradiation Precipitation Prec_lqd Prec_sld AirTEMP_26 Prec_lqd_26 Prec_sld_26 AirTEMP_45 Prec_lqd_45 Prec_sld_45 AirTEMP_85 Prec_lqd_85 Prec_sld_85
2007-08-25 283.388701993674 0.823470075592509 4.08028845136562 372.19581208792 1.29071537290715e-08 8.19721875433486e-09 0 279.58 1.29071537290715e-08 0 279.8 1.29071537290715e-08 0 283.51 1.29071537290715e-08 0
2007-08-26 283.228083902447 0.823119785984068 4.08028845136562 371.427796557548 1.29071537290715e-08 8.19721875433486e-09 0 279.47 1.29071537290715e-08 0 279.7 1.29071537290715e-08 0 283.42 1.29071537290715e-08 0
2007-08-27 283.062961914984 0.82273889804339 4.08028845136562 370.638245082934 1.29071537290715e-08 8.19721875433486e-09 0 279.36 1.29071537290715e-08 0 279.6 1.29071537290715e-08 0 283.33 1.29071537290715e-08 0
2007-08-28 282.893384963207 0.822327524642056 4.08028845136562 369.827391638198 1.29071537290715e-08 8.19721875433486e-09 0 279.25 1.29071537290715e-08 0 279.5 1.29071537290715e-08 0 283.24 1.29071537290715e-08 0
2007-08-29 282.719403299161 0.821885787685517 4.08028845136562 368.995476509791 1.29071537290715e-08 8.19721875433486e-09 0 279.13 1.29071537290715e-08 0 279.39 1.29071537290715e-08 0 283.14 1.29071537290715e-08 0
2007-08-30 282.541068480191 0.821413818077135 4.08028845136562 368.142746225616 1.29071537290715e-08 8.19721875433486e-09 0 279.01 1.29071537290715e-08 0 279.29 1.29071537290715e-08 0 283.05 1.29071537290715e-08 0
2007-08-31 282.358433353646 0.820911755679349 4.08028845136562 367.269453481898 1.29071537290715e-08 8.19721875433486e-09 0 278.89 1.29071537290715e-08 0 279.18 1.29071537290715e-08 0 282.95 1.29071537290715e-08 0
2007-09-01 282.171552041219 0.820379749272229 4.08028845136562 366.375857068294 1.29071537290715e-08 8.19721875433486e-09 0 278.77 1.29071537290715e-08 0 279.06 1.29071537290715e-08 0 282.85 1.29071537290715e-08 0
2007-09-02 281.980479922869 0.819817956509267 4.08028845136562 365.46222179101 1.29071537290715e-08 8.19721875433486e-09 0 278.64 1.29071537290715e-08 0 278.95 1.29071537290715e-08 0 282.74 1.29071537290715e-08 0
2007-09-03 281.785273620588 0.819226543871198 4.08028845136562 364.528818395208 1.29071537290715e-08 8.19721875433486e-09 0 278.51 1.29071537290715e-08 0 278.83 1.29071537290715e-08 0 282.64 1.29071537290715e-08 0
2007-09-04 281.585990981304 0.818605686615708 4.08028845136562 363.575923483215 1.29071537290715e-08 8.19721875433486e-09 0 278.38 1.29071537290715e-08 0 278.71 1.29071537290715e-08 0 282.53 1.29071537290715e-08 0
2007-09-05 281.382691060017 0.817955568726334 4.08028845136562 362.603819433918 1.29071537290715e-08 8.19721875433486e-09 0 278.24 1.29071537290715e-08 0 278.59 1.29071537290715e-08 0 282.43 1.29071537290715e-08 0
2007-09-06 281.175434102181 0.817276382857588 4.08028845136562 361.6127943185 1.29071537290715e-08 8.19721875433486e-09 0 278.11 1.29071537290715e-08 0 278.47 1.29071537290715e-08 0 282.31 1.29071537290715e-08 0
2007-09-07 280.964281525867 0.816568330277921 4.08028845136562 360.603141815171 1.29071537290715e-08 8.19721875433486e-09 0 277.97 1.29071537290715e-08 0 278.34 1.29071537290715e-08 0 282.2 1.29071537290715e-08 0
2007-09-08 280.749295903568 0.815831620810081 4.08028845136562 359.575161122141 1.29071537290715e-08 8.19721875433486e-09 0 277.83 1.29071537290715e-08 0 278.21 1.29071537290715e-08 0 282.09 1.29071537290715e-08 0
2007-09-09 280.530540943629 0.815066472768855 4.08028845136562 358.529156868842 1.29071537290715e-08 8.19721875433486e-09 0 277.68 1.29071537290715e-08 0 278.08 1.29071537290715e-08 0 281.97 1.29071537290715e-08 0
