Datetime Air_Temperature Relative_humidity WindSpeed Shortwaveradiation Precipitation Prec_lqd Prec_sld
"03-Apr-2000 00:00:00" 261.28 0.65 4.08 172.95 0 0 5.31465155839339e-09
"04-Apr-2000 00:00:00" 261.56 0.65 4.08 175.61 0 0 5.31465155839339e-09
"05-Apr-2000 00:00:00" 261.85 0.65 4.08 178.26 0 0 5.31465155839339e-09
"06-Apr-2000 00:00:00" 262.14 0.65 4.08 180.9 0 0 5.31465155839339e-09
"07-Apr-2000 00:00:00" 262.43 0.65 4.08 183.54 0 0 5.31465155839339e-09
"08-Apr-2000 00:00:00" 262.73 0.66 4.08 186.16 0 0 5.31465155839339e-09
"09-Apr-2000 00:00:00" 263.02 0.66 4.08 188.78 0 0 5.31465155839339e-09
"10-Apr-2000 00:00:00" 263.32 0.66 4.08 191.39 0 0 5.31465155839339e-09
"11-Apr-2000 00:00:00" 263.62 0.66 4.08 193.99 0 0 5.31465155839339e-09
"12-Apr-2000 00:00:00" 263.92 0.66 4.08 196.57 0 0 5.31465155839339e-09
"13-Apr-2000 00:00:00" 264.22 0.66 4.08 199.15 0 0 5.31465155839339e-09
"14-Apr-2000 00:00:00" 264.52 0.66 4.08 201.71 0 0 5.31465155839339e-09
"15-Apr-2000 00:00:00" 264.82 0.67 4.08 204.25 0 0 5.31465155839339e-09
"16-Apr-2000 00:00:00" 265.13 0.67 4.08 206.79 0 0 5.31465155839339e-09
"17-Apr-2000 00:00:00" 265.43 0.67 4.08 209.3 0 0 5.31465155839339e-09
"18-Apr-2000 00:00:00" 265.74 0.67 4.08 211.8 0 0 5.31465155839339e-09
"19-Apr-2000 00:00:00" 266.04 0.67 4.08 214.29 0 0 5.31465155839339e-09
"20-Apr-2000 00:00:00" 266.35 0.67 4.08 216.75 0 0 5.31465155839339e-09
"21-Apr-2000 00:00:00" 266.65 0.68 4.08 219.2 0 0 5.31465155839339e-09
"22-Apr-2000 00:00:00" 266.96 0.68 4.08 221.63 0 0 5.31465155839339e-09
"23-Apr-2000 00:00:00" 267.27 0.68 4.08 224.04 0 0 5.31465155839339e-09
"24-Apr-2000 00:00:00" 267.58 0.68 4.08 226.43 0 0 5.31465155839339e-09
"25-Apr-2000 00:00:00" 267.89 0.68 4.08 228.8 0 0 5.31465155839339e-09
"26-Apr-2000 00:00:00" 268.19 0.68 4.08 231.15 0 0 5.31465155839339e-09
"27-Apr-2000 00:00:00" 268.5 0.69 4.08 233.47 0 0 5.31465155839339e-09
"28-Apr-2000 00:00:00" 268.81 0.69 4.08 235.77 0 0 5.31465155839339e-09
"29-Apr-2000 00:00:00" 269.12 0.69 4.08 238.05 0 0 5.31465155839339e-09
"30-Apr-2000 00:00:00" 269.43 0.69 4.08 240.31 0 0 5.31465155839339e-09
