Distance Mineral Surface
82.5 87.5580516902413 87.79
83 87.5980516902413 87.83
83.5 87.5980516902413 87.83
84 87.5880516902413 87.82
84.5 87.5774266902413 87.809375
85 87.5568016902413 87.78875
85.5 87.5345222784766 87.7664705882353
86 87.4961766902413 87.728125
86.5 87.4855516902413 87.7175
87 87.4680516902413 87.7
87.5 87.4680516902413 87.7
88 87.4580516902413 87.69
88.5 87.5098163961237 87.7417647058824
89 87.4680516902413 87.7
89.5 87.4530516902413 87.685
90 87.4927575725942 87.7247058823529
90.5 87.4980516902413 87.73
91 87.5021693373001 87.7341176470588
91.5 87.4156987490648 87.6476470588235
92 87.3411766902413 87.573125
92.5 87.3280516902413 87.56
93 87.2830516902413 87.515
93.5 87.2880516902413 87.52
94 87.296286984359 87.5282352941176
94.5 87.2705516902413 87.5025
95 87.2874266902413 87.519375
95.5 87.3292281608295 87.5611764705882
96 87.3480516902413 87.58
96.5 87.286286984359 87.5182352941176
97 87.2893016902413 87.52125
97.5 87.3568752196531 87.5888235294118
98 87.3293016902413 87.56125
98.5 87.3699266902413 87.601875
99 87.4027575725942 87.6347058823529
99.5 87.4355516902413 87.6675
100 87.4049266902413 87.636875
